PeriodId,res,project,method,threshold
4,40.4099587285107,Roslyn,dynamic,0.25
5,77.391846731157,Roslyn,dynamic,0.25
6,124.77709116235901,Roslyn,dynamic,0.25
7,83.87593561923529,Roslyn,dynamic,0.25
8,77.6156803037092,Roslyn,dynamic,0.25
9,42.484413236918705,Roslyn,dynamic,0.25
10,54.857777453568104,Roslyn,dynamic,0.25
11,59.3078579236366,Roslyn,dynamic,0.25
12,32.9129266803809,Roslyn,dynamic,0.25
13,52.3642737177227,Roslyn,dynamic,0.25
14,49.617779125765196,Roslyn,dynamic,0.25
15,51.2480679320923,Roslyn,dynamic,0.25
16,72.3411636730925,Roslyn,dynamic,0.25
17,91.37044727124079,Roslyn,dynamic,0.25
18,169.43696454802298,Roslyn,dynamic,0.25
19,85.0155223971552,Roslyn,dynamic,0.25
20,133.66012368937598,Roslyn,dynamic,0.25
4,8.00976619268239,Roslyn,dynamic,0.5
5,61.8706111383838,Roslyn,dynamic,0.5
6,104.70080339554899,Roslyn,dynamic,0.5
7,67.5250486521514,Roslyn,dynamic,0.5
8,69.0994715082199,Roslyn,dynamic,0.5
9,34.872133784728604,Roslyn,dynamic,0.5
10,45.2563341522946,Roslyn,dynamic,0.5
11,53.9424270568009,Roslyn,dynamic,0.5
12,29.510082641068603,Roslyn,dynamic,0.5
13,45.821699116971,Roslyn,dynamic,0.5
14,45.6714834273505,Roslyn,dynamic,0.5
15,49.69560628537911,Roslyn,dynamic,0.5
16,71.02388093043291,Roslyn,dynamic,0.5
17,89.3628222559449,Roslyn,dynamic,0.5
18,167.12861859358298,Roslyn,dynamic,0.5
19,85.787101113106,Roslyn,dynamic,0.5
20,132.987329645703,Roslyn,dynamic,0.5
4,-5.889336883035001,Roslyn,dynamic,0.75
5,53.429706621927096,Roslyn,dynamic,0.75
6,101.77088432207701,Roslyn,dynamic,0.75
7,66.1725534421916,Roslyn,dynamic,0.75
8,65.1938499977433,Roslyn,dynamic,0.75
9,32.523353778991,Roslyn,dynamic,0.75
10,42.70640690349379,Roslyn,dynamic,0.75
11,51.7363507818028,Roslyn,dynamic,0.75
12,29.337756149921397,Roslyn,dynamic,0.75
13,46.0311713200474,Roslyn,dynamic,0.75
14,45.6073273819557,Roslyn,dynamic,0.75
15,48.356327751228505,Roslyn,dynamic,0.75
16,69.9952354240273,Roslyn,dynamic,0.75
17,89.36012806524259,Roslyn,dynamic,0.75
18,168.636317117823,Roslyn,dynamic,0.75
19,83.68361001887742,Roslyn,dynamic,0.75
20,132.924533624219,Roslyn,dynamic,0.75
4,35.828665098611204,Roslyn,static,0.25
5,73.0567404662683,Roslyn,static,0.25
6,124.301767036153,Roslyn,static,0.25
7,84.520632637296,Roslyn,static,0.25
8,77.6961794704615,Roslyn,static,0.25
9,39.412547311269606,Roslyn,static,0.25
10,53.0680685559821,Roslyn,static,0.25
11,56.615791809282506,Roslyn,static,0.25
12,32.018666630587695,Roslyn,static,0.25
13,49.45537494905311,Roslyn,static,0.25
14,48.34106411688911,Roslyn,static,0.25
15,49.5917439107201,Roslyn,static,0.25
16,70.862514481704,Roslyn,static,0.25
17,89.3297599756673,Roslyn,static,0.25
18,168.847457417291,Roslyn,static,0.25
19,85.27464655350059,Roslyn,static,0.25
20,132.65859189781,Roslyn,static,0.25
4,-1.0839240217065502,Roslyn,static,0.5
5,64.051877065143,Roslyn,static,0.5
6,103.16798589359301,Roslyn,static,0.5
7,67.346792852785,Roslyn,static,0.5
8,67.2678162328448,Roslyn,static,0.5
9,32.3365752656996,Roslyn,static,0.5
10,43.1112762288826,Roslyn,static,0.5
11,53.945562976386995,Roslyn,static,0.5
12,28.3825599010739,Roslyn,static,0.5
13,45.3268907252164,Roslyn,static,0.5
14,44.9973924044151,Roslyn,static,0.5
15,48.076986338668206,Roslyn,static,0.5
16,68.94818120887109,Roslyn,static,0.5
17,88.96208204163521,Roslyn,static,0.5
18,167.055053570395,Roslyn,static,0.5
19,83.621498996118,Roslyn,static,0.5
20,132.228030416161,Roslyn,static,0.5
4,11.852997542514,Roslyn,static,0.75
5,52.8941282378445,Roslyn,static,0.75
6,102.727154659797,Roslyn,static,0.75
7,65.6983852625175,Roslyn,static,0.75
8,67.2040678556979,Roslyn,static,0.75
9,31.9922914689954,Roslyn,static,0.75
10,38.7218460703195,Roslyn,static,0.75
11,51.914302803513095,Roslyn,static,0.75
12,28.704117214876103,Roslyn,static,0.75
13,46.24490064186129,Roslyn,static,0.75
14,44.6292630636434,Roslyn,static,0.75
15,48.42865395575561,Roslyn,static,0.75
16,69.5249373893542,Roslyn,static,0.75
17,88.3940160190508,Roslyn,static,0.75
18,168.081035493327,Roslyn,static,0.75
19,83.27499006323991,Roslyn,static,0.75
20,130.78185179049402,Roslyn,static,0.75
4,35.8708753530707,Roslyn,norm,0.25
5,76.5661209092133,Roslyn,norm,0.25
6,127.34640900279499,Roslyn,norm,0.25
7,82.9245379039498,Roslyn,norm,0.25
8,78.3438190734047,Roslyn,norm,0.25
9,41.0797072529448,Roslyn,norm,0.25
10,52.069860820225706,Roslyn,norm,0.25
11,58.3444415859404,Roslyn,norm,0.25
12,30.9938964549217,Roslyn,norm,0.25
13,50.2706132642863,Roslyn,norm,0.25
14,46.7448424333562,Roslyn,norm,0.25
15,51.039473837239896,Roslyn,norm,0.25
16,71.07834188608001,Roslyn,norm,0.25
17,91.29302085873769,Roslyn,norm,0.25
18,172.39570149761602,Roslyn,norm,0.25
19,83.1806661247703,Roslyn,norm,0.25
20,133.873810378503,Roslyn,norm,0.25
4,-1.1261773318450201,Roslyn,norm,0.5
5,59.7619784969174,Roslyn,norm,0.5
6,106.95649684725299,Roslyn,norm,0.5
7,66.9939824350722,Roslyn,norm,0.5
8,67.2666280092162,Roslyn,norm,0.5
9,30.762463465828198,Roslyn,norm,0.5
10,43.69094778937329,Roslyn,norm,0.5
11,53.048142813795394,Roslyn,norm,0.5
12,28.6903515963667,Roslyn,norm,0.5
13,47.080481537444804,Roslyn,norm,0.5
14,44.7841891325229,Roslyn,norm,0.5
15,48.008062453539296,Roslyn,norm,0.5
16,69.5172108285376,Roslyn,norm,0.5
17,87.8520979484393,Roslyn,norm,0.5
18,166.517276306843,Roslyn,norm,0.5
19,84.73038205865791,Roslyn,norm,0.5
20,133.104047542479,Roslyn,norm,0.5
4,11.895164741294401,Roslyn,norm,0.75
5,59.02920659337379,Roslyn,norm,0.75
6,106.13760496229999,Roslyn,norm,0.75
7,64.6669103035293,Roslyn,norm,0.75
8,64.61797800650389,Roslyn,norm,0.75
9,31.338775299186302,Roslyn,norm,0.75
10,38.1531317404142,Roslyn,norm,0.75
11,51.479740884431706,Roslyn,norm,0.75
12,29.392091883596397,Roslyn,norm,0.75
13,46.2585622220436,Roslyn,norm,0.75
14,45.4605081882542,Roslyn,norm,0.75
15,46.974821362779394,Roslyn,norm,0.75
16,69.9889191920623,Roslyn,norm,0.75
17,90.27170961973391,Roslyn,norm,0.75
18,169.175905749252,Roslyn,norm,0.75
19,83.6267489398615,Roslyn,norm,0.75
20,132.494337653359,Roslyn,norm,0.75
3,0.0,Rust,dynamic,0.25
7,0.0,Rust,dynamic,0.25
8,0.0,Rust,dynamic,0.25
9,0.0,Rust,dynamic,0.25
10,0.0,Rust,dynamic,0.25
11,0.0,Rust,dynamic,0.25
12,539.760083614755,Rust,dynamic,0.25
13,0.0,Rust,dynamic,0.25
14,82.8904048134811,Rust,dynamic,0.25
15,69.6152560396188,Rust,dynamic,0.25
16,66.70448069328471,Rust,dynamic,0.25
17,61.6327893604323,Rust,dynamic,0.25
18,105.889051697258,Rust,dynamic,0.25
19,92.7872822012168,Rust,dynamic,0.25
20,78.89856114142471,Rust,dynamic,0.25
21,78.6613584169704,Rust,dynamic,0.25
22,97.33087400471909,Rust,dynamic,0.25
23,82.7420894327315,Rust,dynamic,0.25
24,92.0480927603603,Rust,dynamic,0.25
25,114.784552437233,Rust,dynamic,0.25
26,86.5863809396371,Rust,dynamic,0.25
27,96.12358613809359,Rust,dynamic,0.25
28,93.1989598640131,Rust,dynamic,0.25
29,118.34242046013,Rust,dynamic,0.25
30,110.712908171078,Rust,dynamic,0.25
31,110.66969714788,Rust,dynamic,0.25
32,93.1655972942235,Rust,dynamic,0.25
33,101.340036097625,Rust,dynamic,0.25
34,108.43268508214099,Rust,dynamic,0.25
35,148.31099612654498,Rust,dynamic,0.25
3,0.0,Rust,dynamic,0.5
7,0.0,Rust,dynamic,0.5
8,0.0,Rust,dynamic,0.5
9,0.0,Rust,dynamic,0.5
10,0.0,Rust,dynamic,0.5
11,0.0,Rust,dynamic,0.5
12,484.274507398058,Rust,dynamic,0.5
13,0.0,Rust,dynamic,0.5
14,57.7533432078637,Rust,dynamic,0.5
15,48.5798030850476,Rust,dynamic,0.5
16,49.0305081071285,Rust,dynamic,0.5
17,51.737367305565996,Rust,dynamic,0.5
18,90.53984943882179,Rust,dynamic,0.5
19,82.1272585049149,Rust,dynamic,0.5
20,72.902119039374,Rust,dynamic,0.5
21,72.9215343629956,Rust,dynamic,0.5
22,88.666904032116,Rust,dynamic,0.5
23,75.15754336232192,Rust,dynamic,0.5
24,80.32734930502531,Rust,dynamic,0.5
25,101.708871662844,Rust,dynamic,0.5
26,73.4826704784421,Rust,dynamic,0.5
27,82.70600427029079,Rust,dynamic,0.5
28,74.4640522695421,Rust,dynamic,0.5
29,99.59340008988121,Rust,dynamic,0.5
30,91.7764079917128,Rust,dynamic,0.5
31,80.725956471145,Rust,dynamic,0.5
32,77.0601266519352,Rust,dynamic,0.5
33,81.0269460452068,Rust,dynamic,0.5
34,87.04435839681429,Rust,dynamic,0.5
35,133.16981713522802,Rust,dynamic,0.5
3,0.0,Rust,dynamic,0.75
7,0.0,Rust,dynamic,0.75
8,0.0,Rust,dynamic,0.75
9,0.0,Rust,dynamic,0.75
10,0.0,Rust,dynamic,0.75
11,0.0,Rust,dynamic,0.75
12,484.274507398058,Rust,dynamic,0.75
13,0.0,Rust,dynamic,0.75
14,55.64045635167971,Rust,dynamic,0.75
15,49.118195732996995,Rust,dynamic,0.75
16,47.8353687840879,Rust,dynamic,0.75
17,49.0510359862309,Rust,dynamic,0.75
18,91.0360505403668,Rust,dynamic,0.75
19,80.03933676279419,Rust,dynamic,0.75
20,71.1824547311893,Rust,dynamic,0.75
21,71.54089982904591,Rust,dynamic,0.75
22,86.1353678981857,Rust,dynamic,0.75
23,72.11905821471791,Rust,dynamic,0.75
24,78.88168950311,Rust,dynamic,0.75
25,101.965054549865,Rust,dynamic,0.75
26,72.4758922231762,Rust,dynamic,0.75
27,85.3676816361299,Rust,dynamic,0.75
28,75.8484999529256,Rust,dynamic,0.75
29,101.31876467935301,Rust,dynamic,0.75
30,91.1751553970467,Rust,dynamic,0.75
31,79.3578091043997,Rust,dynamic,0.75
32,78.30010359515721,Rust,dynamic,0.75
33,83.00237048662329,Rust,dynamic,0.75
34,87.1681633010998,Rust,dynamic,0.75
35,130.28973650619199,Rust,dynamic,0.75
3,0.0,Rust,static,0.25
7,0.0,Rust,static,0.25
8,0.0,Rust,static,0.25
9,0.0,Rust,static,0.25
10,0.0,Rust,static,0.25
11,0.0,Rust,static,0.25
12,470.029118116534,Rust,static,0.25
13,0.0,Rust,static,0.25
14,53.9570638189129,Rust,static,0.25
15,41.703584806273604,Rust,static,0.25
16,46.6006810657431,Rust,static,0.25
17,50.2940527138825,Rust,static,0.25
18,85.9608654951545,Rust,static,0.25
19,79.9176102896199,Rust,static,0.25
20,71.4699741054738,Rust,static,0.25
21,69.36871406791259,Rust,static,0.25
22,85.38363853009,Rust,static,0.25
23,73.20622344511871,Rust,static,0.25
24,80.40922483293271,Rust,static,0.25
25,100.751229906874,Rust,static,0.25
26,71.84390218009159,Rust,static,0.25
27,81.1529636921746,Rust,static,0.25
28,74.3533408822402,Rust,static,0.25
29,98.8758445931756,Rust,static,0.25
30,91.6266657563154,Rust,static,0.25
31,79.2370051370259,Rust,static,0.25
32,77.45113540191879,Rust,static,0.25
33,81.9020782552722,Rust,static,0.25
34,86.2611340328578,Rust,static,0.25
35,130.854849405941,Rust,static,0.25
3,0.0,Rust,static,0.5
7,0.0,Rust,static,0.5
8,0.0,Rust,static,0.5
9,0.0,Rust,static,0.5
10,0.0,Rust,static,0.5
11,0.0,Rust,static,0.5
12,470.029118116534,Rust,static,0.5
13,0.0,Rust,static,0.5
14,53.674774704529895,Rust,static,0.5
15,41.531120699714705,Rust,static,0.5
16,47.5928052639436,Rust,static,0.5
17,49.5365909359248,Rust,static,0.5
18,89.27346133010391,Rust,static,0.5
19,80.21441714352541,Rust,static,0.5
20,71.4386123591373,Rust,static,0.5
21,70.86857228184309,Rust,static,0.5
22,86.196870503079,Rust,static,0.5
23,75.4413815463481,Rust,static,0.5
24,80.0269773718517,Rust,static,0.5
25,100.77248407401699,Rust,static,0.5
26,71.81026038493441,Rust,static,0.5
27,85.02336047571241,Rust,static,0.5
28,74.2994829326062,Rust,static,0.5
29,99.0171505140662,Rust,static,0.5
30,91.21870617644251,Rust,static,0.5
31,80.47365370713841,Rust,static,0.5
32,77.8107046084571,Rust,static,0.5
33,80.8287743314013,Rust,static,0.5
34,84.5569767591394,Rust,static,0.5
35,131.168153875339,Rust,static,0.5
3,0.0,Rust,static,0.75
7,0.0,Rust,static,0.75
8,0.0,Rust,static,0.75
9,0.0,Rust,static,0.75
10,0.0,Rust,static,0.75
11,0.0,Rust,static,0.75
12,470.029118116534,Rust,static,0.75
13,0.0,Rust,static,0.75
14,53.585870942263604,Rust,static,0.75
15,43.44053452326529,Rust,static,0.75
16,47.0396568475357,Rust,static,0.75
17,49.8276988699234,Rust,static,0.75
18,89.14092908629291,Rust,static,0.75
19,79.730465743415,Rust,static,0.75
20,71.169788887211,Rust,static,0.75
21,71.96582056284021,Rust,static,0.75
22,85.54697267714991,Rust,static,0.75
23,74.2646447216786,Rust,static,0.75
24,80.47302777678841,Rust,static,0.75
25,102.307506813183,Rust,static,0.75
26,72.2493596209806,Rust,static,0.75
27,86.75723719545928,Rust,static,0.75
28,74.8388199684725,Rust,static,0.75
29,100.435715447742,Rust,static,0.75
30,90.5913446987883,Rust,static,0.75
31,81.52950098956109,Rust,static,0.75
32,78.1564313002935,Rust,static,0.75
33,80.9308279528887,Rust,static,0.75
34,84.6370821598728,Rust,static,0.75
35,128.594116450121,Rust,static,0.75
3,0.0,Rust,norm,0.25
7,0.0,Rust,norm,0.25
