PeriodId,LearnRec-98
3,0
7,0
8,0
9,0
10,0
11,0
12,-100
13,0
14,-70.2898556712856
15,-62.0955910050636
16,-62.099720399991
17,-56.9855890649754
18,-50.503558441735
19,-68.2755113924538
20,-57.2837368719142
21,-64.4631180982084
22,-45.7269886658805
23,-60.4141440914792
24,-58.5001108793954
25,-62.9568396174112
26,-63.9131947155373
27,-60.7911622326582
28,-48.0407136025488
29,-64.2824569249605
30,-66.2566625701541
31,-68.4387270470883
32,-66.2251264028227
33,-74.6138283842034
34,-72.4668854436263
35,-69.034103748214
Median,-61.4433766188609
Average,-61.4433766188609
