PeriodId,LearnRec-98
3,-100
7,-100
8,-50
9,-31.25
10,-73.8245036357578
11,-57.7848876742954
12,-55.8216626137539
13,-50.4353149812997
14,-47.8460164675269
15,-44.5441900992981
16,-49.3268688036461
17,-40.3612868827029
18,-41.1868506611604
19,-48.7855034590974
20,-47.3793698301506
21,-46.8574514485394
22,-43.7834944815817
23,-48.7436700357487
24,-50.3146884885106
25,-46.939052515112
26,-51.9254214954135
27,-51.1730355963765
28,-21.0116590130122
29,-50.2278548822846
30,-52.1647290682158
31,-50.5027560128774
32,-51.0939906582219
33,-53.7451405770092
34,-51.0752014333906
35,-50.6021934005008
Median,-50.2712716853976
Average,-50.2712716853976
