PeriodId,LearnRec-98
3,0
7,0
8,0
9,0
10,0
11,-36.6666666666667
12,-36
13,-8.33333333333334
14,-47.4285714285714
15,-50
16,-53.3088235294118
17,-46.3258785942492
18,-48.494983277592
19,-55.5680539932508
20,-53.5658914728682
21,-51.6129032258064
22,-47.9683972911964
23,-52.3058252427184
24,-53.6616161616162
25,-51.4957264957265
26,-55.4307116104869
27,-52.3153942428035
28,-35.75
29,-53.8866930171278
30,-54.9132947976879
31,-53.441802252816
32,-56.3304721030043
33,-54.9889135254989
34,-50.5128205128205
35,-49.0322580645161
Median,-50.2564102564103
Average,-50.2564102564103
