PeriodId,RevOwnRec-120
3,0
7,0
8,0
9,0
10,0
11,0
12,-49.522602343768
13,0
14,-60.6268329571516
15,-39.4103516516347
16,-48.8500492770116
17,-42.9451581494928
18,-28.9121964806647
19,-31.6332425330858
20,-21.3462973284364
21,-23.2769069163483
22,-13.2140780133921
23,-12.3756646469645
24,-16.4010791655577
25,-2.93932692486212
26,-9.2139589978714
27,-13.3094161698293
28,-24.874131352691
29,-4.01458511902145
30,-4.58278334109683
31,-7.40485467849704
32,-4.18426555430401
33,-9.94068769525923
34,-3.05939735410667
35,6.65552182881688
Median,-9.57732334656531
Average,-9.57732334656531
