PeriodId,RevOwnRec-97
3,0
7,0
8,0
9,0
10,0
11,0
12,-23.2982570789928
13,0
14,-62.9881964128442
15,-65.9314803180818
16,-62.6122822718477
17,-58.0810424113336
18,-69.6241140056475
19,-75.3748907729885
20,-38.3791021951258
21,-7.11075673527699
22,-7.25435260394613
23,-18.1958366905041
24,-14.3420057265511
25,-5.40403653600263
26,-26.0236903080785
27,-22.8967049004321
28,-33.1070012674836
29,-35.5694088340225
30,-37.4558530758928
31,-36.0992924252779
32,-38.1524641327377
33,-47.4315068189106
34,-49.6574505055785
35,-25.7466294582157
Median,-25.8851598831471
Average,-25.8851598831471
