PeriodId,RevOwnRec-120
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,10.2857142857143
15,7.85714285714285
16,8.45588235294117
17,9.5846645367412
18,14.0468227424749
19,7.42407199100112
20,0.387596899224807
21,1.14464099895941
22,3.49887133182845
23,6.55339805825244
24,6.81818181818181
25,2.35042735042734
26,9.61298377028714
27,11.514392991239
28,9.87499999999999
29,12.3847167325428
30,11.9075144508671
31,14.6433041301627
32,15.8798283261803
33,20.6208425720621
34,26.1538461538461
35,30.8387096774194
Median,8.15651260504201
Average,8.15651260504201
