PeriodId,RetentionRec-96
8,0
10,0
11,-33.3333333333333
12,-62.5
13,-71.4285714285714
14,-22.8070175438597
15,-16.6666666666667
16,-44
17,-28.7671232876712
18,-25.8426966292135
19,-20.5882352941177
20,-3.87096774193548
21,-12.3515439429929
22,-3.58851674641149
23,2.57879656160458
24,-19.2771084337349
25,-15.6398104265403
26,-17.6684881602914
27,-11.1724137931035
29,-19.4906953966699
30,-13.7488542621448
31,-13.3802816901408
32,-16.7919799498747
33,-12.3870967741936
34,-16.9336384439359
35,-19.31330472103
Median,-16.8628091969053
Average,-16.8628091969053
