PeriodId,TurnoverRec-95
3,0
7,0
8,0
9,0
10,0
11,0
12,-96.7942712421139
13,0
14,-64.0952118077631
15,-53.7448292574304
16,-47.0399178606643
17,-41.6795319709685
18,-26.0472189676277
19,-52.5871355602645
20,-49.9863233925666
21,-60.1923879082191
22,-39.5398220151351
23,-54.6032408153147
24,-53.1151168212457
25,-56.4995994239741
26,-60.6795649114302
27,-58.3133416695074
28,-42.694550480221
29,-60.4615030178604
30,-59.4574210165716
31,-63.9140570792043
32,-60.9410284433961
33,-67.4831731895873
34,-63.9555863783923
35,-67.4193904528782
Median,-53.4299730393381
Average,-53.4299730393381
