PeriodId,TurnoverRec-95
3,-100
7,-100
8,-50
9,-18.75
10,-29.250700691872
11,-24.5305906424067
12,-8.89678616824185
13,-1.12629521384388
14,-21.9058061040153
15,-24.2408023241468
16,-28.9625794921706
17,-20.9652160382815
18,-17.4217776667518
19,-28.4839609238281
20,-36.0625517795471
21,-38.0272104252428
22,-32.5556832751312
23,-37.4478983082565
24,-38.6286818165831
25,-37.8201398833319
26,-39.2485402477461
27,-40.3452057101961
28,-7.55728883480401
29,-36.256908163098
30,-37.2393311255385
31,-34.9516004516359
32,-34.5211216648712
33,-36.8793788748421
34,-32.0520438929846
35,-33.9060259066486
Median,-34.2135737857599
Average,-34.2135737857599
