PeriodId,TurnoverRec-95
8,100
10,0
11,-33.3333333333333
12,-37.5
13,-69.0476190476191
14,-28.0701754385965
15,-19.4444444444444
16,-56
17,-39.7260273972603
18,-19.1011235955056
19,-12.7450980392157
20,-6.12903225806452
21,-11.4014251781473
22,-8.13397129186603
23,-8.30945558739255
24,-22.3752151462995
25,-27.7251184834123
26,-24.9544626593807
27,-22.2068965517241
29,-31.537708129285
30,-30.2474793767186
31,-29.1750503018109
32,-20.8020050125313
33,-20.5161290322581
34,-33.1807780320366
35,-29.3991416309013
Median,-23.6648389028401
Average,-23.6648389028401
