PeriodId,TurnoverRec-95
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,1.14285714285713
15,-7.14285714285714
16,-9.55882352941176
17,-8.94568690095847
18,-3.01003344481605
19,-15.748031496063
20,-25.1937984496124
21,-25.8064516129032
22,-23.8148984198646
23,-17.3543689320388
24,-11.8686868686869
25,-18.1623931623932
26,-14.1073657927591
27,-19.0237797246558
28,-4.25
29,-9.09090909090909
30,-10.4046242774566
31,-4.00500625782227
32,-4.50643776824035
33,-2.77161862527716
34,9.87179487179488
35,6.4516129032258
Median,-4.37821888412017
Average,-4.37821888412017
