PeriodId,JITSofia-111
3,0
7,0
8,0
9,0
10,0
11,0
12,470.029118116534
13,0
14,54.3578875899605
15,44.3787915825031
16,47.6967515074927
17,47.5652081298058
18,89.6726125007713
19,80.7665619816806
20,71.0383231359087
21,71.5748139114231
22,88.5985708216802
23,74.0751095394143
24,79.481475479279
25,100.044382538977
26,72.4520701406707
27,85.4523304864977
28,72.679657883956
29,99.6350008404718
30,90.72596953461
31,80.1736372897762
32,77.624906059973
33,81.3825793360318
34,83.8362805958275
35,130.175652947796
Median,73.3773837116852
Average,73.3773837116852
