PeriodId,JITSofia-115
8,100
10,0
11,-11.1111111111111
12,-37.5
13,-66.6666666666667
14,-29.8245614035088
15,-13.8888888888889
16,-53.3333333333333
17,-39.7260273972603
18,-23.5955056179775
19,-19.6078431372549
20,-13.2258064516129
21,-13.3016627078385
22,-10.5263157894737
23,-10.6017191977077
24,-19.104991394148
25,-22.2748815165877
26,-22.7686703096539
27,-20.4137931034483
29,-29.8726738491675
30,-28.9642529789184
31,-24.3460764587525
32,-27.0676691729323
33,-25.5483870967742
34,-38.6727688787185
35,-35.4077253218884
Median,-23.1820879638157
Average,-23.1820879638157
