PeriodId,JITSofia-123
3,0
7,0
8,0
9,0
10,0
11,-3.33333333333333
12,12
13,0
14,0
15,0
16,-3.67647058823529
17,4.79233226837061
18,4.68227424749164
19,-1.79977502812149
20,-7.13178294573643
21,-6.86784599375651
22,-11.2866817155756
23,-7.28155339805825
24,-8.20707070707071
25,-15.7051282051282
26,-6.86641697877652
27,-10.1376720901126
28,-8.125
29,-10.4084321475626
30,-13.4104046242775
31,-6.13266583229036
32,-0.965665236051505
33,-0.110864745011086
34,8.2051282051282
35,1.54838709677418
Median,-1.3827201320865
Average,-1.3827201320865
