PeriodId,JITSofia-114
8,100
10,0
11,-11.1111111111111
12,-37.5
13,-66.6666666666667
14,-28.0701754385965
15,-13.8888888888889
16,-54.6666666666667
17,-38.3561643835616
18,-23.5955056179775
19,-20.5882352941177
20,-11.9354838709677
21,-9.97624703087886
22,-8.3732057416268
23,-9.16905444126075
24,-21.1703958691911
25,-25.3554502369668
26,-24.7723132969035
27,-21.3793103448276
29,-30.9500489715965
30,-29.7891842346471
31,-26.2575452716298
32,-28.8220551378446
33,-26.7096774193548
34,-38.4439359267735
35,-34.3347639484979
Median,-25.0638817669351
Average,-25.0638817669351
